Date;CNY
01.01.12 0:00;6,2941
02.01.12 0:00;6,2941
03.01.12 0:00;6,2941
04.01.12 0:00;6,2945
05.01.12 0:00;6,3016
06.01.12 0:00;6,3094
07.01.12 0:00;6,3094
08.01.12 0:00;6,3094
09.01.12 0:00;6,3146
10.01.12 0:00;6,3148
11.01.12 0:00;6,3154
12.01.12 0:00;6,3181
13.01.12 0:00;6,3068
14.01.12 0:00;6,3068
15.01.12 0:00;6,3068
16.01.12 0:00;6,3165
17.01.12 0:00;6,3139
18.01.12 0:00;6,3119
19.01.12 0:00;6,3167
20.01.12 0:00;6,334
21.01.12 0:00;6,334
22.01.12 0:00;6,334
23.01.12 0:00;6,334
24.01.12 0:00;6,334
25.01.12 0:00;6,334
26.01.12 0:00;6,334
27.01.12 0:00;6,334
28.01.12 0:00;6,334
29.01.12 0:00;6,334
30.01.12 0:00;6,3338
31.01.12 0:00;6,309
01.02.12 0:00;6,3076
02.02.12 0:00;6,302
03.02.12 0:00;6,303
04.02.12 0:00;6,303
05.02.12 0:00;6,303
06.02.12 0:00;6,3124
07.02.12 0:00;6,3048
08.02.12 0:00;6,2948
09.02.12 0:00;6,295
10.02.12 0:00;6,2995
11.02.12 0:00;6,2995
12.02.12 0:00;6,2995
13.02.12 0:00;6,2976
14.02.12 0:00;6,2995
15.02.12 0:00;6,3002
16.02.12 0:00;6,3017
17.02.12 0:00;6,2988
18.02.12 0:00;6,2988
19.02.12 0:00;6,2988
20.02.12 0:00;6,3017
21.02.12 0:00;6,2965
22.02.12 0:00;6,297
23.02.12 0:00;6,299
24.02.12 0:00;6,2978
25.02.12 0:00;6,2978
26.02.12 0:00;6,2978
27.02.12 0:00;6,3016
28.02.12 0:00;6,2991
29.02.12 0:00;6,2938
01.03.12 0:00;6,3004
02.03.12 0:00;6,299
03.03.12 0:00;6,299
04.03.12 0:00;6,299
05.03.12 0:00;6,3069
06.03.12 0:00;6,3079
07.03.12 0:00;6,3099
08.03.12 0:00;6,3164
09.03.12 0:00;6,3107
10.03.12 0:00;6,3107
11.03.12 0:00;6,3107
12.03.12 0:00;6,3263
13.03.12 0:00;6,327
