Date;JPY
01.01.12 0:00;76,95
02.01.12 0:00;76,95
03.01.12 0:00;76,74
04.01.12 0:00;76,72
05.01.12 0:00;77,17
06.01.12 0:00;76,96
07.01.12 0:00;76,96
08.01.12 0:00;76,96
09.01.12 0:00;76,88
10.01.12 0:00;76,86
11.01.12 0:00;76,87
12.01.12 0:00;76,79
13.01.12 0:00;76,96
14.01.12 0:00;76,96
15.01.12 0:00;76,96
16.01.12 0:00;76,83
17.01.12 0:00;76,82
18.01.12 0:00;76,79
19.01.12 0:00;77,08
20.01.12 0:00;77,02
21.01.12 0:00;77,02
22.01.12 0:00;77,02
23.01.12 0:00;77
24.01.12 0:00;77,68
25.01.12 0:00;77,78
26.01.12 0:00;77,47
27.01.12 0:00;76,69
28.01.12 0:00;76,69
29.01.12 0:00;76,69
30.01.12 0:00;76,38
31.01.12 0:00;76,27
01.02.12 0:00;76,2
02.02.12 0:00;76,19
03.02.12 0:00;76,61
04.02.12 0:00;76,61
05.02.12 0:00;76,61
06.02.12 0:00;76,57
07.02.12 0:00;76,77
08.02.12 0:00;77,07
09.02.12 0:00;77,66
10.02.12 0:00;77,61
11.02.12 0:00;77,61
12.02.12 0:00;77,61
13.02.12 0:00;77,52
14.02.12 0:00;78,41
15.02.12 0:00;78,5
16.02.12 0:00;78,83
17.02.12 0:00;79,56
18.02.12 0:00;79,56
19.02.12 0:00;79,56
20.02.12 0:00;79,62
21.02.12 0:00;79,85
22.02.12 0:00;80,27
23.02.12 0:00;79,95
24.02.12 0:00;81,2
25.02.12 0:00;81,2
26.02.12 0:00;81,2
27.02.12 0:00;80,47
28.02.12 0:00;80,48
29.02.12 0:00;81,29
01.03.12 0:00;81,09
02.03.12 0:00;81,8
03.03.12 0:00;81,8
04.03.12 0:00;81,8
05.03.12 0:00;81,53
06.03.12 0:00;80,64
07.03.12 0:00;81,36
08.03.12 0:00;81,6
09.03.12 0:00;82,48
10.03.12 0:00;82,48
11.03.12 0:00;82,48
12.03.12 0:00;82,38
13.03.12 0:00;82,96
14.03.12 0:00;83,83
15.03.12 0:00;83,5
16.03.12 0:00;83,44
17.03.12 0:00;83,44
18.03.12 0:00;83,44
19.03.12 0:00;83,38
20.03.12 0:00;83,67
21.03.12 0:00;83,2
22.03.12 0:00;82,53
23.03.12 0:00;82,35
24.03.12 0:00;82,35
25.03.12 0:00;82,35
26.03.12 0:00;83,02
27.03.12 0:00;83,07
28.03.12 0:00;82,85
29.03.12 0:00;82,29
30.03.12 0:00;82,87
31.03.12 0:00;82,87
01.04.12 0:00;82,87
