 ;Total;
 ;Price;Volume
Time;USD;BTC
01.01.2012 00:00;4.76;1674.55599404
02.01.2012 00:00;31.2;688.66917337
03.01.2012 00:00;30.7;1648.76420639
04.01.2012 00:00;5.5861859941;1621.9606898
05.01.2012 00:00;6.7682514107;3407.5823317
06.01.2012 00:00;6.48;3382.98504569
07.01.2012 00:00;6.397;771.14480886
08.01.2012 00:00;7.0;2507.43492825
09.01.2012 00:00;6.201;1536.26817766
10.01.2012 00:00;6.32;834.41742754
11.01.2012 00:00;43.5;1540.09553162
12.01.2012 00:00;6.4915414768;1357.09319539
13.01.2012 00:00;6.6;1042.41969431
14.01.2012 00:00;6.74;1562.45647086
15.01.2012 00:00;43.29;636.69851567
16.01.2012 00:00;6.4;1554.94326403
17.01.2012 00:00;5.7;1147.09774394
18.01.2012 00:00;5.85;1068.07717009
19.01.2012 00:00;6.2400199888;766.12262848
20.01.2012 00:00;6.139;803.86434291
21.01.2012 00:00;5.999;464.44816021
22.01.2012 00:00;6.0;424.1339614
23.01.2012 00:00;5.832;971.28570279
24.01.2012 00:00;6.0;459.89827747
25.01.2012 00:00;35.59;1031.4986095
26.01.2012 00:00;34.01;728.59181762
27.01.2012 00:00;5.0;1759.3175806
28.01.2012 00:00;5.1280787315;955.03000193
29.01.2012 00:00;33.56;808.30554865
30.01.2012 00:00;5.287;582.6007616
31.01.2012 00:00;5.35;1019.33457809
01.02.2012 00:00;5.6;1411.7301916
02.02.2012 00:00;5.9;1514.45153093
03.02.2012 00:00;5.802;1407.8211239
04.02.2012 00:00;5.788;612.60821349
05.02.2012 00:00;5.41;1193.84292139
06.02.2012 00:00;5.287;755.23102005
07.02.2012 00:00;5.2;1068.71216366
08.02.2012 00:00;5.412;1792.45485953
09.02.2012 00:00;5.551;1303.70676435
10.02.2012 00:00;5.796;1390.64472714
11.02.2012 00:00;5.605;1256.36789012
12.02.2012 00:00;5.389;1322.9041848
13.02.2012 00:00;5.18;1187.70819732
14.02.2012 00:00;27.06;2024.42930444
15.02.2012 00:00;28.2;1182.71703308
16.02.2012 00:00;4.1;1312.36545047
17.02.2012 00:00;10.5634408602;1514.34009163
18.02.2012 00:00;4.101;893.74583398
19.02.2012 00:00;3.98;864.85494584
20.02.2012 00:00;4.44;1933.85333862
21.02.2012 00:00;4.58;1713.96086773
22.02.2012 00:00;4.5137123615;1773.39138796
23.02.2012 00:00;4.55;2437.81837313
24.02.2012 00:00;4.51;1956.47659882
25.02.2012 00:00;4.502;707.42152401
26.02.2012 00:00;30.0;1405.18294632
27.02.2012 00:00;4.5011659031;1815.77770239
28.02.2012 00:00;4.88;1634.69246112
29.02.2012 00:00;4.99;2522.94765563
01.03.2012 00:00;28.15;2241.39628643
02.03.2012 00:00;4.41;1361.36199694
03.03.2012 00:00;4.2671731085;1048.57650491
04.03.2012 00:00;28.47;904.90485344
05.03.2012 00:00;4.499;2997.88787853
06.03.2012 00:00;29.272144065;2256.68889892
07.03.2012 00:00;4.52;2322.82987865
08.03.2012 00:00;4.63;1297.46501354
09.03.2012 00:00;4.47;1969.43574434
10.03.2012 00:00;4.46;1782.15204826
11.03.2012 00:00;28.57;1974.59503394
12.03.2012 00:00;4.411;2579.5938817
13.03.2012 00:00;31.75;5245.13307046
14.03.2012 00:00;4.903;4140.95616957
15.03.2012 00:00;4.79;3937.06090527
16.03.2012 00:00;31.86;1974.8768142
17.03.2012 00:00;5.035;1508.93129141
