 ;Total;
 ;Price;Volume
Time;USD;BTC
01.01.2012 13:30;5.2116570008;1609.31915453
04.01.2012 18:00;6.56;2405.21425869
08.01.2012 16:00;6.381;1814.14239191
12.01.2012 14:00;6.743;1148.20353411
15.01.2012 18:30;6.056;662.57034134
19.01.2012 16:30;5.85;800.66171776
23.01.2012 14:30;5.5;1194.79847173
26.01.2012 19:00;5.409;1474.29155611
30.01.2012 17:00;5.915;1705.73141666
03.02.2012 15:00;5.209;817.18217106
06.02.2012 19:30;5.6678660205;1610.3000943
10.02.2012 17:30;4.2680472436;1836.99493621
14.02.2012 15:30;4.306;1363.42800661
18.02.2012 13:30;4.235;1392.59928038
21.02.2012 18:00;5.0;1771.80242203
25.02.2012 16:00;4.4439988273;1694.02422843
29.02.2012 14:00;4.255;2264.19045254
03.03.2012 18:30;5.0302069331;3064.25610398
07.03.2012 16:30;4.499;2213.70936434
11.03.2012 14:30;5.38;5372.67764468
14.03.2012 19:00;4.89;2832.66382853
18.03.2012 17:00;4.79;4308.17024219
22.03.2012 15:00;4.359;3641.09620998
25.03.2012 19:30;4.4;2456.06991145
29.03.2012 17:30;4.539;3991.1138749
02.04.2012 15:30;4.785;8679.52113649
06.04.2012 13:30;4.5;4352.60287993
09.04.2012 18:00;4.725;15055.3695627
13.04.2012 16:00;4.84;13455.4910545
17.04.2012 14:00;5.04;12665.1614459
20.04.2012 18:30;5.038;7334.40152127
24.04.2012 16:30;4.9120596105;8938.06987729
28.04.2012 14:30;4.842;3644.48568545
01.05.2012 19:00;4.94;10436.1753065
05.05.2012 17:00;5.07;5292.5363379
09.05.2012 15:00;4.8452108799;9657.61000078
12.05.2012 19:30;4.969;7471.73025794
16.05.2012 17:30;5.008;6834.15305625
20.05.2012 15:30;4.99;12757.9604194
24.05.2012 13:30;5.027;8534.21223229
27.05.2012 18:00;5.0681712;6379.56570174
31.05.2012 16:00;5.128688015;7706.59644326
04.06.2012 14:00;5.401;7984.06662291
07.06.2012 18:30;5.4995383614;14338.5258058
11.06.2012 16:30;5.9471421811;10208.1025833
15.06.2012 14:30;6.17;12853.2845928
18.06.2012 19:00;6.401;6159.10399244
22.06.2012 17:00;6.38;9453.56406642
26.06.2012 15:00;6.51;12057.266328
29.06.2012 19:30;6.45;18274.003216
03.07.2012 17:30;6.5258293427;7241.42393651
07.07.2012 15:30;7.0;11228.8987918
11.07.2012 13:30;7.44;3982.20430367
14.07.2012 18:00;9.011;10432.4954226
18.07.2012 16:00;8.466;7273.77632244
22.07.2012 14:00;8.4985358944;8235.65985386
25.07.2012 18:30;8.595;4048.44979242
29.07.2012 16:30;9.58480492813;10996.4294363
02.08.2012 14:30;10.200495192;9849.19341563
05.08.2012 19:00;11.309;8052.56398569
09.08.2012 17:00;11.5319046358;8131.64650534
13.08.2012 15:00;13.098;11741.460475
16.08.2012 19:30;9.3173915205;12869.0009509
20.08.2012 17:30;9.88;10649.6462447
24.08.2012 15:30;11.0;6900.70188461
28.08.2012 13:30;10.28;8193.07812488
31.08.2012 18:00;10.198;5129.84941968
04.09.2012 16:00;10.87;6560.40777966
08.09.2012 14:00;10.902;6263.15960352
11.09.2012 18:30;11.499857143;4909.88889185
15.09.2012 16:30;12.36;8107.15595934
19.09.2012 14:30;12.1;4942.99595352
22.09.2012 19:00;11.903;9749.48798181
26.09.2012 17:00;12.18;6565.4239382
30.09.2012 15:00;12.32;21625.7643388
