 ;Total;
 ;Price;Volume
Time;USD;BTC
01.06.2012 00:00;5.1;291.62117313
01.06.2012 01:00;5.12;48.34387566
01.06.2012 02:00;5.116;155.191581
01.06.2012 03:00;5.2;109.503396
01.06.2012 04:00;5.188;20.846904
01.06.2012 05:00;5.15;1.8601
01.06.2012 06:00;5.141;312.51271214
01.06.2012 07:00;5.144;98.047198
01.06.2012 08:00;5.1412900611;222.33306079
01.06.2012 09:00;5.133;161.93455255
01.06.2012 10:00;5.2;471.93824372
01.06.2012 11:00;5.23;48.47590933
01.06.2012 12:00;5.16;248.68214428
01.06.2012 13:00;5.13;149.47807013
01.06.2012 14:00;5.17;122.20314198
01.06.2012 15:00;5.22;576.08785248
01.06.2012 16:00;5.15;80.99686041
01.06.2012 17:00;5.149;95.49767481
01.06.2012 18:00;5.134;688.709838
01.06.2012 19:00;5.15;527.8223706
01.06.2012 20:00;5.135;503.20945
01.06.2012 21:00;5.1331319063;432.79461694
01.06.2012 22:00;5.1331319063;0.0
01.06.2012 23:00;5.15;175.7534
02.06.2012 00:00;5.15;5.36215
02.06.2012 01:00;5.15;0.0
02.06.2012 02:00;5.15;73.7879
02.06.2012 03:00;5.134;92.9926
02.06.2012 04:00;5.134;55.707367
02.06.2012 05:00;5.128;59.471069
02.06.2012 06:00;5.114;185.915666
02.06.2012 07:00;5.1298352611;46.4735
02.06.2012 08:00;5.118;9.47068
02.06.2012 09:00;5.13;87.25925076
02.06.2012 10:00;5.13;230.7408
02.06.2012 11:00;5.12;68.0360089
02.06.2012 12:00;5.12;99.011777
02.06.2012 13:00;5.12;28.82799
02.06.2012 14:00;5.19;252.60755776
02.06.2012 15:00;5.12;27.00956
02.06.2012 16:00;5.1159927405;382.92502691
02.06.2012 17:00;5.1200412159;1434.538251
02.06.2012 18:00;5.12;958.8261043
02.06.2012 19:00;5.13;36.1982
02.06.2012 20:00;5.125;32.48657
02.06.2012 21:00;5.13;752.008923
02.06.2012 22:00;5.19;5.33
02.06.2012 23:00;5.087;20.00088
03.06.2012 00:00;5.19;1.21001921
03.06.2012 01:00;5.12;1.93539622
03.06.2012 02:00;5.12;0.0
03.06.2012 03:00;5.092;32.939
03.06.2012 04:00;5.12;0.51
03.06.2012 05:00;5.12;0.0
03.06.2012 06:00;5.1165172135;4.540366
03.06.2012 07:00;5.12;142.1494
03.06.2012 08:00;5.1;65.52698
03.06.2012 09:00;5.12;248.443965
03.06.2012 10:00;5.1;582.401119
03.06.2012 11:00;5.094;354.969382
03.06.2012 12:00;5.1;589.6684107
03.06.2012 13:00;5.1;590.853307
03.06.2012 14:00;5.0997612202;105.969947
03.06.2012 15:00;5.0997612202;0.0
03.06.2012 16:00;5.0997612202;0.0
03.06.2012 17:00;5.1;173.030635
03.06.2012 18:00;5.1;256.78254
03.06.2012 19:00;5.1;45.90349
03.06.2012 20:00;5.0998659946;7.0
03.06.2012 21:00;5.0998659946;9.51044
03.06.2012 22:00;5.092;41.0412
03.06.2012 23:00;5.1;332.558171
04.06.2012 00:00;5.1;245.99472
04.06.2012 01:00;5.1;240.28481965
04.06.2012 02:00;5.12;2.65332
04.06.2012 03:00;5.1282381053;17.017181
04.06.2012 04:00;5.1051590407;31.36159
04.06.2012 05:00;5.106;12.14
04.06.2012 06:00;5.108;23.5601
04.06.2012 07:00;5.114;70.3347038
04.06.2012 08:00;5.114;16.189709
04.06.2012 09:00;5.1564607987;397.01773386
