 ;Total;
 ;Price;Volume
Time;USD;BTC
01.01.2012 13:30;4.95;48.5497448
01.01.2012 14:30;4.84;232.8216088
01.01.2012 15:30;5.1655636007;10.02208718
01.01.2012 16:30;5.2;105.153417
01.01.2012 17:30;5.1652246469;7.423178
01.01.2012 18:30;5.2;26.31823464
01.01.2012 19:30;5.083110169;75.484646
02.01.2012 14:00;5.2;27.484871
02.01.2012 15:00;5.15;5.94299977
02.01.2012 16:00;5.185;0.63901
02.01.2012 17:00;5.065;2.74
02.01.2012 18:00;5.1;18.710458
02.01.2012 19:00;5.0645908431;6.614124
03.01.2012 13:30;4.7106374768;148.0923913
03.01.2012 14:30;4.8;312.65218563
03.01.2012 15:30;4.9899594469;35.57279347
03.01.2012 16:30;5.29;30.39705389
03.01.2012 17:30;4.8061944674;5.6525908
03.01.2012 18:30;4.989;2.234234
03.01.2012 19:30;4.989;0.0
04.01.2012 14:00;5.0917226809;146.55082087
04.01.2012 15:00;5.3604618117;115.98547821
04.01.2012 16:00;5.199;24.87601361
04.01.2012 17:00;5.2116570008;219.40121356
04.01.2012 18:00;5.27;38.1920525
04.01.2012 19:00;5.3171310935;68.0278764
05.01.2012 13:30;6.1897750288;17.67865999
05.01.2012 14:30;6.175;22.48751248
05.01.2012 15:30;6.0281520681;102.7504944
05.01.2012 16:30;6.1815361035;5.8447097
05.01.2012 17:30;6.18;27.867623
05.01.2012 18:30;6.19;146.584414
05.01.2012 19:30;6.54;24.668897
06.01.2012 14:00;6.25;217.033119
06.01.2012 15:00;6.35;292.70560204
06.01.2012 16:00;6.12;65.223404
06.01.2012 17:00;6.4;244.98774159
06.01.2012 18:00;6.599;254.05085276
06.01.2012 19:00;6.399;42.22347181
07.01.2012 13:30;6.3403897363;62.96304
07.01.2012 14:30;6.25;51.3295993
07.01.2012 15:30;6.41;18.599997
07.01.2012 16:30;6.362848;53.34265573
07.01.2012 17:30;6.8;17.61108299
07.01.2012 18:30;6.4091203083;20.918485
07.01.2012 19:30;6.41;1.28206
08.01.2012 14:00;6.6037825755;486.541794
08.01.2012 15:00;6.56;122.299114
08.01.2012 16:00;6.62;312.31145
08.01.2012 17:00;6.56;86.84965095
08.01.2012 18:00;6.73;364.906596
08.01.2012 19:00;6.64;7.586738
09.01.2012 13:30;6.43;38.91253072
09.01.2012 14:30;6.6;20.85402728
09.01.2012 15:30;6.45144300646;29.4361438
09.01.2012 16:30;6.38;84.60253914
09.01.2012 17:30;6.48;11.22046587
09.01.2012 18:30;6.251;73.836506
09.01.2012 19:30;6.3418061951;68.3906958
10.01.2012 14:00;6.38014878289;27.69375848
10.01.2012 15:00;6.36;56.74106813
10.01.2012 16:00;6.32;1.577472
10.01.2012 17:00;6.32;3.308038
10.01.2012 18:00;6.32;7.25000987
10.01.2012 19:00;6.359;77.350567
11.01.2012 13:30;7.03869393757;272.96155876
11.01.2012 14:30;6.412;62.968454
11.01.2012 15:30;6.667;76.9393488
11.01.2012 16:30;6.667;5.996841
11.01.2012 17:30;6.542;3.604454
11.01.2012 18:30;6.542;45.92005231
11.01.2012 19:30;6.381;72.923426
12.01.2012 14:00;6.3806215579;20.77057371
12.01.2012 15:00;6.58776699909;74.625157
12.01.2012 16:00;6.4;25.636
12.01.2012 17:00;7.35;10.1448992
12.01.2012 18:00;6.465;5.5492
12.01.2012 19:00;6.4024172714;10.399181
13.01.2012 13:30;6.9;29.04646655
